12.20.56 156 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.12 983 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.13 184 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.13 389 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.13 595 Roll: 0.2 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.13 803 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.14 005 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.14 206 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.14 407 Roll: 0.1 -> 1499, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.14 616 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.14 825 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.15 040 Roll: 0.2 -> 1499, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.15 256 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.15 459 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.15 661 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.15 875 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.16 090 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.16 295 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.16 510 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.16 726 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.16 932 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.17 149 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.17 363 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.17 579 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.17 781 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.17 997 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.18 198 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.18 403 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.18 616 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.18 821 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.19 034 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.19 245 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.19 457 Roll: 0.4 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.19 674 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 131 -> 1500
12.21.19 888 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.20 102 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 130 -> 1500
12.21.20 317 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.20 523 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 129 -> 1500
12.21.20 728 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 128 -> 1500
12.21.20 941 Roll: 0.4 -> 1498, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 127 -> 1500
12.21.21 154 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 125 -> 1500
12.21.21 370 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 124 -> 1500
12.21.21 571 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 123 -> 1500
12.21.21 780 Roll: 0.5 -> 1497, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 122 -> 1500
12.21.21 989 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 121 -> 1500
12.21.22 194 Roll: 0.5 -> 1497, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 120 -> 1500
12.21.22 407 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 118 -> 1500
12.21.22 622 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 116 -> 1500
12.21.22 825 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 115 -> 1500
12.21.23 029 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 114 -> 1500
12.21.23 243 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 114 -> 1500
12.21.23 448 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 112 -> 1500
12.21.23 660 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 112 -> 1500
12.21.23 865 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 111 -> 1500
12.21.24 075 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 109 -> 1500
12.21.24 279 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 108 -> 1500
12.21.24 484 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 107 -> 1500
12.21.24 713 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 105 -> 1500
12.21.24 919 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 105 -> 1500
12.21.25 123 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 104 -> 1500
12.21.25 329 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 103 -> 1500
12.21.25 536 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 102 -> 1500
12.21.25 758 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 101 -> 1500
12.21.25 963 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 100 -> 1500
12.21.26 180 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 98 -> 1500
12.21.26 393 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 97 -> 1500
12.21.26 608 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 96 -> 1500
12.21.26 814 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 95 -> 1500
12.21.27 028 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 94 -> 1500
12.21.27 243 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 93 -> 1500
12.21.27 449 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 92 -> 1500
12.21.27 662 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 91 -> 1500
12.21.27 871 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 89 -> 1500
12.21.28 078 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 88 -> 1500
12.21.28 286 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 87 -> 1500
12.21.28 509 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 86 -> 1500
12.21.28 725 Roll: 0.2 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 85 -> 1500
12.21.28 941 Roll: 0.2 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 84 -> 1500
12.21.29 157 Roll: 0.2 -> 1499, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 83 -> 1500
12.21.29 371 Roll: 0.1 -> 1499, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 81 -> 1500
12.21.29 573 Roll: 0 -> 1500, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 80 -> 1500
12.21.29 788 Roll: 0.2 -> 1499, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 79 -> 1500
12.21.29 994 Roll: 0.1 -> 1499, Pitch: 0 -> adjustedRequest.Pitch, Yaw: 78 -> 1500
12.21.30 200 Roll: 0.6 -> 1497, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 77 -> 1500
12.21.30 405 Roll: 0.5 -> 1497, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 77 -> 1500
12.21.30 618 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 76 -> 1500
12.21.30 822 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 75 -> 1500
12.21.31 036 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 75 -> 1500
12.21.31 251 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 74 -> 1500
12.21.31 465 Roll: 0.4 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 73 -> 1500
12.21.31 673 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 72 -> 1500
12.21.31 874 Roll: 0.3 -> 1498, Pitch: 0.1 -> adjustedRequest.Pitch, Yaw: 72 -> 1500
12.21.32 088 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 71 -> 1500
12.21.32 295 Roll: 0.3 -> 1498, Pitch: 0.3 -> adjustedRequest.Pitch, Yaw: 70 -> 1500
12.21.32 500 Roll: 0.3 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 70 -> 1500
12.21.32 709 Roll: 0 -> 1500, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 69 -> 1500
12.21.32 922 Roll: 0.1 -> 1499, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 68 -> 1500
12.21.33 126 Roll: 0.1 -> 1499, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 67 -> 1500
12.21.33 339 Roll: 0.1 -> 1499, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 67 -> 1500
12.21.33 540 Roll: 0.1 -> 1499, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 67 -> 1500
12.21.33 748 Roll: 0.1 -> 1499, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 67 -> 1500
12.21.33 961 Roll: 0 -> 1500, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 63 -> 1500
12.21.34 174 Roll: 0 -> 1500, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 63 -> 1500
12.21.34 389 Roll: 0 -> 1500, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 63 -> 1500
12.21.34 596 Roll: 0 -> 1500, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 63 -> 1500
12.21.34 810 Roll: 0.1 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 59 -> 1500
12.21.35 014 Roll: 0.1 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 59 -> 1500
12.21.35 219 Roll: 0.1 -> 1499, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 59 -> 1500
12.21.35 426 Roll: 0 -> 1500, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 55 -> 1500
12.21.35 634 Roll: 0 -> 1500, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 55 -> 1500
12.21.35 837 Roll: 0 -> 1500, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 55 -> 1500
12.21.36 039 Roll: 0 -> 1500, Pitch: 0.8 -> adjustedRequest.Pitch, Yaw: 55 -> 1500
12.21.36 248 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 50 -> 1500
12.21.36 456 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 50 -> 1500
12.21.36 672 Roll: 0.4 -> 1498, Pitch: 0.2 -> adjustedRequest.Pitch, Yaw: 50 -> 1500
12.21.36 874 Roll: 0.4 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 46 -> 1500
12.21.37 090 Roll: 0.4 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 46 -> 1500
12.21.37 305 Roll: 0.4 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 46 -> 1500
12.21.37 507 Roll: 0.4 -> 1498, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 46 -> 1500
12.21.37 717 Roll: 0.5 -> 1497, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 42 -> 1500
12.21.37 923 Roll: 0.5 -> 1497, Pitch: 0.5 -> adjustedRequest.Pitch, Yaw: 42 -> 1500
12.21.38 142 Roll: -0.1 -> 1500, Pitch: 12.2 -> adjustedRequest.Pitch, Yaw: 41 -> 1500
12.21.38 352 Roll: 0.7 -> 1496, Pitch: 0.7 -> adjustedRequest.Pitch, Yaw: 40 -> 1500
12.21.38 559 Roll: 0.6 -> 1497, Pitch: 2 -> adjustedRequest.Pitch, Yaw: 39 -> 1500
12.21.38 775 Roll: -0.9 -> 1504, Pitch: 0.4 -> adjustedRequest.Pitch, Yaw: 38 -> 1500
12.21.38 986 Roll: 0.1 -> 1499, Pitch: 3.1 -> adjustedRequest.Pitch, Yaw: 37 -> 1500
12.21.39 194 Roll: -0.3 -> 1501, Pitch: 4.4 -> adjustedRequest.Pitch, Yaw: 35 -> 1500
12.21.39 409 Roll: -0.7 -> 1503, Pitch: 3.2 -> adjustedRequest.Pitch, Yaw: 33 -> 1500
12.21.39 622 Roll: 0.8 -> 1496, Pitch: 3.6 -> adjustedRequest.Pitch, Yaw: 31 -> 1500
12.21.39 828 Roll: 0.6 -> 1497, Pitch: 3.7 -> adjustedRequest.Pitch, Yaw: 28 -> 1500
12.21.40 036 Roll: 0.9 -> 1495, Pitch: 3.9 -> adjustedRequest.Pitch, Yaw: 26 -> 1500
12.21.40 240 Roll: 0.3 -> 1498, Pitch: 3.8 -> adjustedRequest.Pitch, Yaw: 25 -> 1500
12.21.40 457 Roll: -1.6 -> 1507, Pitch: 3.4 -> adjustedRequest.Pitch, Yaw: 23 -> 1500
12.21.40 662 Roll: -0.2 -> 1500, Pitch: 3.5 -> adjustedRequest.Pitch, Yaw: 22 -> 1500
12.21.40 863 Roll: 0.4 -> 1498, Pitch: 3.5 -> adjustedRequest.Pitch, Yaw: 20 -> 1500
12.21.41 080 Roll: 0.3 -> 1498, Pitch: 3.1 -> adjustedRequest.Pitch, Yaw: 17 -> 1500
12.21.41 292 Roll: 0.2 -> 1499, Pitch: 2.9 -> adjustedRequest.Pitch, Yaw: 14 -> 1500
12.21.41 497 Roll: 0.6 -> 1497, Pitch: 2.6 -> adjustedRequest.Pitch, Yaw: 10 -> 1500
12.21.41 715 Roll: 0.3 -> 1498, Pitch: 2.4 -> adjustedRequest.Pitch, Yaw: 7 -> 1500
12.21.41 930 Roll: 0.7 -> 1496, Pitch: 2.3 -> adjustedRequest.Pitch, Yaw: 6 -> 1500
12.21.42 145 Roll: 0.3 -> 1498, Pitch: 2 -> adjustedRequest.Pitch, Yaw: 5 -> 1500
12.21.42 350 Roll: 0.4 -> 1498, Pitch: 1.9 -> adjustedRequest.Pitch, Yaw: 4 -> 1500
12.21.42 557 Roll: 0.4 -> 1498, Pitch: 1.3 -> adjustedRequest.Pitch, Yaw: 3 -> 1500
12.21.42 763 Roll: 0.3 -> 1498, Pitch: 2.4 -> adjustedRequest.Pitch, Yaw: 1 -> 1500
12.21.42 979 Roll: 0 -> 1500, Pitch: 1.6 -> adjustedRequest.Pitch, Yaw: 0 -> 1500
12.21.43 185 Roll: 0.1 -> 1499, Pitch: 2.1 -> adjustedRequest.Pitch, Yaw: 359 -> 1500
